condition,scenario,planner,baseline,k_samples,paired_episodes,success_delta,success_delta_ci_low,success_delta_ci_high,final_distance_delta,final_distance_delta_ci_low,final_distance_delta_ci_high,candidate_only_successes,baseline_only_successes,mcnemar_p,mcnemar_holm_p
friction_0p3,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.43333333333333335,0.23333333333333334,0.6333333333333333,-0.02855273333333334,-0.04313643250000001,-0.015677103333333338,14,1,0.0009765625,0.0654296875
friction_0p3,box_align_contact_arc,soppi_fast,mppi,256,30,0.2,-0.06666666666666667,0.43416666666665454,-0.012384066666666669,-0.02665283416666667,0.0008769166666666596,11,5,0.210113525390625,1.0
friction_0p3,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.23333333333333334,0.032500000000000286,0.4666666666666667,-0.041497566666666666,-0.06102667499999999,-0.022683584166666666,10,3,0.09228515625,1.0
friction_0p3,box_align_contact_loss,soppi_fast,mppi,256,30,-0.03333333333333333,-0.26666666666666666,0.2,-0.002915333333333331,-0.02364547083333333,0.017219853333333306,6,7,1.0,1.0
friction_0p3,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.0014305000000000012,-0.0029769975000000027,1.4550833333338127e-05,0,0,1.0,1.0
friction_0p3,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,0.00032723333333332846,-0.001335909166666671,0.002035006666666674,0,0,1.0,1.0
friction_0p3,box_align_strict,diff_mppi_3,mppi,256,30,0.5,0.3333333333333333,0.6666666666666666,-0.04780176666666667,-0.06783247333333332,-0.02932040333333335,15,0,6.103515625e-05,0.0042724609375
friction_0p3,box_align_strict,soppi_fast,mppi,256,30,0.2,-0.06749999999999971,0.4666666666666667,-0.020981366666666664,-0.04660785333333333,0.00222739249999999,13,7,0.26317596435546875,1.0
friction_0p3,box_swivel,diff_mppi_3,mppi,256,30,0.2,-0.03333333333333333,0.43333333333333335,-0.007419566666666666,-0.01817849,0.00822759916666666,10,4,0.1795654296875,1.0
friction_0p3,box_swivel,soppi_fast,mppi,256,30,0.03333333333333333,-0.13333333333333333,0.2,-0.01274053333333333,-0.03167663166666666,6.393416666666849e-05,4,3,1.0,1.0
