condition,scenario,planner,k_samples,episodes,successes,success_rate,success_wilson_low,success_wilson_high,final_distance_mean,cost_mean,control_ms_mean,control_ms_p95,collision_mean
friction_0p3,box_align_contact_arc,diff_mppi_3,256,30,27,0.9,0.7437891742081593,0.9654001112526658,0.29137419999999997,2.7633113333333332,2.425402333333333,2.4560155,0.0
friction_0p3,box_align_contact_arc,mppi,256,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.31992693333333333,4.5861469999999995,0.10129561,0.10520489999999999,0.0
friction_0p3,box_align_contact_arc,soppi_fast,256,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,0.3075428666666667,3.7371326666666667,1.3328056666666666,1.3403215,0.0
friction_0p3,box_align_contact_loss,diff_mppi_3,256,30,24,0.8,0.6269430358685175,0.9049489282271013,0.26093663333333333,3.058622333333333,2.4309856666666665,2.4626405,0.0
friction_0p3,box_align_contact_loss,mppi,256,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.30243420000000004,4.309089,0.10406779666666667,0.11482579999999999,0.0
friction_0p3,box_align_contact_loss,soppi_fast,256,30,16,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.29951886666666666,4.210386333333333,1.3375556666666666,1.3464575,0.0
friction_0p3,box_align_detour,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.6032647,11.968033333333333,3.322216,3.3323005,0.0
friction_0p3,box_align_detour,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.6046952,11.98493,0.14823246666666667,0.1697527,0.0
friction_0p3,box_align_detour,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.6050224333333334,11.976623333333333,1.7992333333333335,1.8288879999999998,0.0
friction_0p3,box_align_strict,diff_mppi_3,256,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,0.25282166666666667,3.462594,2.450517,2.5025925000000004,0.0
friction_0p3,box_align_strict,mppi,256,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.30062343333333336,4.505750333333333,0.09695511,0.1011286,0.0
friction_0p3,box_align_strict,soppi_fast,256,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.2796420666666667,3.340058,1.312101,1.3234335000000002,0.0
friction_0p3,box_swivel,diff_mppi_3,256,30,12,0.4,0.24590628116801852,0.5767963974667752,0.2455319,1.9738216666666666,2.428154333333333,2.51164,0.0
friction_0p3,box_swivel,mppi,256,30,6,0.2,0.0950510717728987,0.3730569641314825,0.2529514666666667,2.1779531999999997,0.09607515333333333,0.09976867,0.0
friction_0p3,box_swivel,soppi_fast,256,30,7,0.23333333333333334,0.11792388144489496,0.40928326158122164,0.24021093333333335,1.9106527,1.3054270000000001,1.3296155,0.0
friction_0p9,box_align_contact_arc,diff_mppi_3,256,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.32601600000000003,4.274174,2.4374949999999997,2.463229,0.0
friction_0p9,box_align_contact_arc,mppi,256,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.3551225333333334,4.828629333333334,0.1067023,0.11665939999999998,0.0
friction_0p9,box_align_contact_arc,soppi_fast,256,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.34546730000000003,4.672145333333333,1.335335,1.343918,0.0
friction_0p9,box_align_contact_loss,diff_mppi_3,256,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.2977952333333333,3.7667599999999997,2.441108,2.4688825,0.0
friction_0p9,box_align_contact_loss,mppi,256,30,8,0.26666666666666666,0.14182663319596317,0.4444796169518888,0.36996056666666666,6.185622666666666,0.10178823333333333,0.10500014999999999,0.0
friction_0p9,box_align_contact_loss,soppi_fast,256,30,11,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.3538195333333334,5.289058333333333,1.3400866666666666,1.3578729999999999,0.0
friction_0p9,box_align_detour,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.6138963333333333,12.337169999999999,3.3483806666666664,3.3563265,0.0
friction_0p9,box_align_detour,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.6120045333333334,12.233526666666668,0.16436863333333335,0.17882549999999997,0.0
friction_0p9,box_align_detour,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.6138515000000001,12.26201,1.9141263333333332,1.95439,0.0
friction_0p9,box_align_strict,diff_mppi_3,256,30,21,0.7,0.5212421254128504,0.8333525173175619,0.2870746,4.030079333333334,2.4487406666666667,2.5035965,0.0
friction_0p9,box_align_strict,mppi,256,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.3518747266666667,5.006162,0.09745719333333333,0.10644965,0.0
friction_0p9,box_align_strict,soppi_fast,256,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.2885903366666666,3.5494226666666666,1.312256,1.3242444999999998,0.0
friction_0p9,box_swivel,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.3400043333333333,2.9210196666666666,2.4285223333333334,2.4926304999999997,0.0
friction_0p9,box_swivel,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.3345259666666667,2.883531333333333,0.09615481666666666,0.098714215,0.0
friction_0p9,box_swivel,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.33563113333333333,2.7886416666666665,1.3052533333333334,1.3260535,0.0
mass_0p75,box_align_contact_arc,diff_mppi_3,256,30,21,0.7,0.5212421254128504,0.8333525173175619,0.3084364666666667,3.504866,2.433897,2.464335,0.0
mass_0p75,box_align_contact_arc,mppi,256,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.3357828,5.114678333333333,0.10950656666666667,0.11914804999999999,0.0
mass_0p75,box_align_contact_arc,soppi_fast,256,30,23,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.3079380666666667,3.6058156666666665,1.3354103333333331,1.343506,0.0
mass_0p75,box_align_contact_loss,diff_mppi_3,256,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,0.28070036666666665,3.51919,2.4378496666666667,2.4622089999999996,0.0
mass_0p75,box_align_contact_loss,mppi,256,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.3336081666666667,4.6764046666666665,0.10609589999999999,0.11514545,0.0
mass_0p75,box_align_contact_loss,soppi_fast,256,30,16,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.3214549,4.341272,1.3342363333333334,1.34279,0.0
mass_0p75,box_align_detour,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.6053123666666667,12.06255,3.3314443333333332,3.345841,0.0
mass_0p75,box_align_detour,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.6077006333333334,12.099223333333333,0.1590538333333333,0.1761514,0.0
mass_0p75,box_align_detour,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.6077619333333334,12.052963333333334,1.8635373333333334,1.9217909999999998,0.0
mass_0p75,box_align_strict,diff_mppi_3,256,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,0.26654583333333337,3.609424666666667,2.4687696666666668,2.5226165000000003,0.0
mass_0p75,box_align_strict,mppi,256,30,11,0.36666666666666664,0.21873920806100708,0.5448643634520511,0.3376860333333333,4.891054,0.10997791666666666,0.11927099999999999,0.0
mass_0p75,box_align_strict,soppi_fast,256,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.31745876666666667,3.905670333333333,1.3258886666666667,1.3428095,0.0
mass_0p75,box_swivel,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.29646896666666667,2.5605173333333338,2.4432616666666664,2.5057505,0.0
mass_0p75,box_swivel,mppi,256,30,0,0.0,0.0,0.11351339317396876,0.29867859999999996,2.5898946666666665,0.1108494,0.12115329999999999,0.0
mass_0p75,box_swivel,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.29628736666666666,2.453531666666667,1.3230403333333334,1.347928,0.0
mass_1p25,box_align_contact_arc,diff_mppi_3,256,30,25,0.8333333333333334,0.6643564949358398,0.9266345762815145,0.28771566,3.118876333333333,2.4661049999999998,2.50114,0.0
mass_1p25,box_align_contact_arc,mppi,256,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,0.3482214,5.015398333333334,0.1344529,0.14025905,0.0
mass_1p25,box_align_contact_arc,soppi_fast,256,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.31668620000000003,3.9138096666666664,1.3828433333333334,1.3956615,0.0
mass_1p25,box_align_contact_loss,diff_mppi_3,256,30,25,0.8333333333333334,0.6643564949358398,0.9266345762815145,0.26317509333333333,3.1317536666666665,2.463173,2.5103735,0.0
mass_1p25,box_align_contact_loss,mppi,256,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.3177911,4.765602,0.13036603333333333,0.15214719999999998,0.0
mass_1p25,box_align_contact_loss,soppi_fast,256,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.3112266333333333,4.428979666666667,1.3843946666666667,1.400194,0.0
mass_1p25,box_align_detour,diff_mppi_3,256,30,0,0.0,0.0,0.11351339317396876,0.6057485666666668,12.102886666666667,3.373498666666667,3.4053265,0.0
