planner,k_samples,episodes,deadline_ms,deadline_misses,max_control_ms,median_p95_control_ms,feasible,selected
mppi,64,25,10.0,0,7.5633,1.5687,1,0
mppi,128,25,10.0,0,5.1066,1.7113,1,0
mppi,256,25,10.0,0,5.2566,1.9771,1,0
mppi,512,25,10.0,0,3.8041,2.3767,1,0
mppi,1024,25,10.0,0,4.2572,3.2952,1,1
diff_mppi_3,64,25,10.0,0,7.9491,6.1122,1,0
diff_mppi_3,128,25,10.0,0,7.1815,6.0335,1,0
diff_mppi_3,256,25,10.0,0,7.3053,5.9464,1,0
diff_mppi_3,512,25,10.0,1,10.9494,5.8853,0,0
diff_mppi_3,1024,25,10.0,0,6.9041,5.9716,1,1
soppi_fast,64,25,10.0,0,7.1164,5.8439,1,0
soppi_fast,128,25,10.0,0,7.1364,5.9771,1,0
soppi_fast,256,25,10.0,0,7.6374,5.9602,1,0
soppi_fast,512,25,10.0,0,7.3809,6.1331,1,0
soppi_fast,1024,25,10.0,0,9.4889,6.0358,1,1
