condition,scenario,planner,baseline,k_samples,paired_episodes,success_delta,success_delta_ci_low,success_delta_ci_high,final_distance_delta,final_distance_delta_ci_low,final_distance_delta_ci_high,candidate_only_successes,baseline_only_successes,mcnemar_p,mcnemar_holm_p
gain_0p8,box_align_contact_arc,diff_mppi_3,mppi,128,30,0.0,0.0,0.0,-0.0031125666666666717,-0.0049289058333333415,-0.0012801941666666754,0,0,1.0,1.0
gain_0p8,box_align_contact_arc,soppi_fast,mppi,128,30,0.0,0.0,0.0,-0.0012092666666666696,-0.002251113333333336,-0.00015079916666666584,0,0,1.0,1.0
gain_0p8,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.003224300000000004,-0.004790443333333338,-0.0015935283333333417,0,0,1.0,1.0
gain_0p8,box_align_contact_arc,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.0008248333333333357,-0.002229209166666663,0.000544027499999995,0,0,1.0,1.0
gain_0p8,box_align_contact_arc,diff_mppi_3,mppi,512,30,0.0,0.0,0.0,-0.0030250999999999954,-0.004536506666666667,-0.0015588716666666631,0,0,1.0,1.0
gain_0p8,box_align_contact_arc,soppi_fast,mppi,512,30,0.0,0.0,0.0,-0.0019464000000000037,-0.0032881241666666743,-0.000605559999999998,0,0,1.0,1.0
gain_0p8,box_align_contact_loss,diff_mppi_3,mppi,128,30,0.03333333333333333,0.0,0.1,-0.012689766666666664,-0.019139434166666667,-0.006824121666666675,1,0,1.0,1.0
gain_0p8,box_align_contact_loss,soppi_fast,mppi,128,30,0.03333333333333333,0.0,0.1,-0.0004226999999999981,-0.001671558333333329,0.0008214933333333346,1,0,1.0,1.0
gain_0p8,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.03333333333333333,0.0,0.1,-0.010510566666666669,-0.014625660833333338,-0.006832731666666669,1,0,1.0,1.0
gain_0p8,box_align_contact_loss,soppi_fast,mppi,256,30,0.03333333333333333,0.0,0.1,-0.0015179333333333266,-0.002620668333333323,-0.0004786316666666657,1,0,1.0,1.0
gain_0p8,box_align_contact_loss,diff_mppi_3,mppi,512,30,0.0,0.0,0.0,-0.01227143333333333,-0.017015479999999996,-0.007701492500000004,0,0,1.0,1.0
gain_0p8,box_align_contact_loss,soppi_fast,mppi,512,30,0.0,0.0,0.0,-0.001258933333333334,-0.0022045350000000023,-0.00028094416666666944,0,0,1.0,1.0
gain_0p8,box_align_detour,diff_mppi_3,mppi,128,30,0.1,0.0,0.23333333333333334,-0.031784433333333334,-0.03738334833333333,-0.026269395000000008,3,0,0.25,1.0
