file,score,kernels,kernel_loops,nested_kernel_loops,d2h,h2d,syncs,atomics,allocations,transcendentals,large_local_arrays,signals
src/benchmark_diff_mppi.cu,809,56,176,31,15,10,6,0,28,131,0,nested kernel loops; 176 kernel loops; D2H+H2D round trip; 6 explicit sync; 131 transcendental sites
src/benchmark_diff_mppi_manipulator_7dof.cu,320,10,44,14,1,5,2,0,15,2,19,nested kernel loops; 44 kernel loops; D2H+H2D round trip; 2 explicit sync; 19 symbolic local arrays
src/gpu_constrained_mpc.cu,273,1,45,16,1,2,0,0,4,1,0,nested kernel loops; 45 kernel loops; D2H+H2D round trip
src/graph_slam.cu,190,9,29,8,4,2,3,6,10,16,0,nested kernel loops; 29 kernel loops; D2H+H2D round trip; 3 explicit sync; 6 atomics; 16 transcendental sites
src/benchmark_diff_mppi_manipulator.cu,181,12,33,8,1,1,2,0,10,1,0,nested kernel loops; 33 kernel loops; D2H+H2D round trip; 2 explicit sync
src/gpu_filterreg_p2plane.cu,163,9,22,6,3,9,0,15,23,0,2,nested kernel loops; 22 kernel loops; D2H+H2D round trip; 15 atomics; 2 symbolic local arrays
src/benchmark_diff_mppi_mujoco_reacher.cu,153,10,23,5,3,6,3,0,10,1,8,nested kernel loops; 23 kernel loops; D2H+H2D round trip; 3 explicit sync; 8 symbolic local arrays
src/gpu_online_slam_3d_switchable.cu,147,9,22,7,4,8,0,6,20,0,0,nested kernel loops; 22 kernel loops; D2H+H2D round trip; 6 atomics
src/benchmark_diff_mppi_dynamic_bicycle.cu,140,10,26,5,1,2,2,0,10,5,0,nested kernel loops; 26 kernel loops; D2H+H2D round trip; 2 explicit sync; 5 transcendental sites
src/gpu_fgr.cu,140,6,22,5,1,4,0,4,11,4,3,nested kernel loops; 22 kernel loops; D2H+H2D round trip; 4 atomics; 3 symbolic local arrays; 4 transcendental sites
src/fgr_gpu.cu,132,6,22,4,1,4,0,4,11,4,3,nested kernel loops; 22 kernel loops; D2H+H2D round trip; 4 atomics; 3 symbolic local arrays; 4 transcendental sites
src/gpu_megaparticles_6dof.cu,127,21,11,2,5,4,4,21,15,3,4,nested kernel loops; 11 kernel loops; D2H+H2D round trip; 4 explicit sync; 21 atomics; 4 symbolic local arrays
src/gpu_pose_graph_slam_3d.cu,113,7,16,5,6,9,0,6,19,0,0,nested kernel loops; 16 kernel loops; D2H+H2D round trip; 6 atomics
src/gpu_pose_graph_slam_3d_switchable.cu,113,8,16,5,7,9,0,6,19,0,0,nested kernel loops; 16 kernel loops; D2H+H2D round trip; 6 atomics
src/filterreg_gpu.cu,108,7,13,5,2,7,0,8,17,0,0,nested kernel loops; 13 kernel loops; D2H+H2D round trip; 8 atomics
src/gpu_real_bunny_reg.cu,107,5,16,3,2,8,0,8,13,0,2,nested kernel loops; 16 kernel loops; D2H+H2D round trip; 8 atomics; 2 symbolic local arrays
src/gpu_robust_p2plane_reg.cu,107,5,16,3,2,8,0,8,13,0,2,nested kernel loops; 16 kernel loops; D2H+H2D round trip; 8 atomics; 2 symbolic local arrays
src/benchmark_diff_mppi_cartpole.cu,105,13,20,3,2,4,2,0,11,4,0,nested kernel loops; 20 kernel loops; D2H+H2D round trip; 2 explicit sync; 4 transcendental sites
src/gpu_online_slam.cu,100,10,15,3,10,5,0,7,12,4,0,nested kernel loops; 15 kernel loops; D2H+H2D round trip; 7 atomics; 4 transcendental sites
src/gpu_megaparticles_lsh.cu,96,15,5,0,8,5,3,27,16,19,0,5 kernel loops; D2H+H2D round trip; 3 explicit sync; 27 atomics; 19 transcendental sites
src/comparison_swarm.cu,91,13,12,1,4,7,15,2,19,0,0,nested kernel loops; 12 kernel loops; D2H+H2D round trip; 15 explicit sync; 2 atomics
src/gpu_bundle_adjustment.cu,88,14,9,3,5,3,1,10,19,2,0,nested kernel loops; 9 kernel loops; D2H+H2D round trip; 1 explicit sync; 10 atomics
src/benchmark_diff_mppi_mujoco.cu,87,8,13,2,4,8,3,0,9,1,4,nested kernel loops; 13 kernel loops; D2H+H2D round trip; 3 explicit sync; 4 symbolic local arrays
src/gpu_megaparticles_stein_mcl.cu,86,20,7,0,11,5,3,16,31,14,2,7 kernel loops; D2H+H2D round trip; 3 explicit sync; 16 atomics; 2 symbolic local arrays; 14 transcendental sites
src/benchmark_diff_mppi_pushing_box.cu,85,14,15,1,5,3,4,0,12,5,2,nested kernel loops; 15 kernel loops; D2H+H2D round trip; 4 explicit sync; 2 symbolic local arrays; 5 transcendental sites
src/gpu_megaparticles_gicp_mcl.cu,82,13,5,1,7,15,3,16,33,13,0,nested kernel loops; 5 kernel loops; D2H+H2D round trip; 3 explicit sync; 16 atomics; 13 transcendental sites
src/comparison_diff_mppi.cu,74,7,12,2,5,1,2,0,8,5,0,nested kernel loops; 12 kernel loops; D2H+H2D round trip; 2 explicit sync; 5 transcendental sites
src/diff_mppi.cu,74,7,12,2,5,1,2,0,8,5,0,nested kernel loops; 12 kernel loops; D2H+H2D round trip; 2 explicit sync; 5 transcendental sites
src/gpu_diff_contact_push.cu,74,1,8,2,3,1,1,0,5,7,5,nested kernel loops; 8 kernel loops; D2H+H2D round trip; 1 explicit sync; 5 symbolic local arrays; 7 transcendental sites
src/benchmark_diff_mppi_pushing.cu,69,10,11,1,1,2,2,0,8,5,2,nested kernel loops; 11 kernel loops; D2H+H2D round trip; 2 explicit sync; 2 symbolic local arrays; 5 transcendental sites
src/comparison_stomp.cu,68,4,7,3,3,2,3,0,5,1,2,nested kernel loops; 7 kernel loops; D2H+H2D round trip; 3 explicit sync; 2 symbolic local arrays
src/robust_p2plane_gpu.cu,68,5,11,1,2,8,0,4,13,0,2,nested kernel loops; 11 kernel loops; D2H+H2D round trip; 4 atomics; 2 symbolic local arrays
src/stomp.cu,68,4,7,3,3,2,3,0,5,1,2,nested kernel loops; 7 kernel loops; D2H+H2D round trip; 3 explicit sync; 2 symbolic local arrays
src/amcl.cu,67,9,8,1,17,10,7,0,17,17,0,nested kernel loops; 8 kernel loops; D2H+H2D round trip; 7 explicit sync; 17 transcendental sites
src/comparison_amcl.cu,67,9,8,1,8,7,7,0,17,17,0,nested kernel loops; 8 kernel loops; D2H+H2D round trip; 7 explicit sync; 17 transcendental sites
