scenario,planner,seed,k_samples,t_horizon,grad_steps,alpha,reached_goal,collision_free,success,steps,final_distance,min_goal_distance,cumulative_cost,collisions,mean_control_delta,control_roughness,avg_control_ms,total_control_ms,episode_ms,sample_budget
dynamic_crossing,c2u_mppi_smooth,1064,64,30,0,0,1,1,1,252,1.97332,1.97332,41604.5,0,0.321531,0.166113,0.232615,58.619,62.5102,483840
dynamic_crossing,c2u_mppi_smooth,1071,64,30,0,0,1,1,1,252,1.97934,1.97934,41360.9,0,0.325674,0.174024,0.222809,56.1479,60.2699,483840
dynamic_crossing,c2u_mppi_smooth,1078,64,30,0,0,1,1,1,253,1.97999,1.97999,41800.3,0,0.357755,0.212909,0.215193,54.4439,58.829,485760
dynamic_crossing,dbas_log_mppi_agile,1084,64,30,0,0,1,1,1,253,1.88554,1.88554,41696.8,0,0.335556,0.170332,0.214768,54.3363,58.5062,485760
dynamic_crossing,dbas_log_mppi_agile,1091,64,30,0,0,1,1,1,252,1.94755,1.94755,41444,0,0.335039,0.178564,0.205609,51.8135,54.7316,483840
dynamic_crossing,dbas_log_mppi_agile,1098,64,30,0,0,1,1,1,252,1.96058,1.96058,41485.5,0,0.295475,0.147059,0.192295,48.4584,49.8262,483840
dynamic_crossing,dra_mppi_soft,1104,64,30,0,0,1,1,1,253,1.9356,1.9356,41791.2,0,0.353197,0.203667,0.282977,71.5932,76.0423,485760
dynamic_crossing,dra_mppi_soft,1111,64,30,0,0,1,1,1,254,1.89438,1.89438,41801.7,0,0.359893,0.218121,0.27352,69.4741,74.2541,487680
dynamic_crossing,dra_mppi_soft,1118,64,30,0,0,1,1,1,252,1.94075,1.94075,41584.3,0,0.355504,0.213212,0.274792,69.2477,74.2366,483840
dynamic_crossing,ducct_mppi_smooth,1124,64,30,0,0,1,1,1,251,1.90454,1.90454,41338.2,0,0.330837,0.181164,0.1974,49.5475,52.636,481920
dynamic_crossing,ducct_mppi_smooth,1131,64,30,0,0,1,1,1,252,1.87137,1.87137,41531.6,0,0.3281,0.178674,0.19796,49.8858,54.0144,483840
dynamic_crossing,ducct_mppi_smooth,1138,64,30,0,0,1,1,1,252,1.95834,1.95834,41693.5,0,0.338879,0.182081,0.201148,50.6894,54.0334,483840
dynamic_crossing,lp_mppi_smooth,1144,64,30,0,0,1,1,1,252,1.84262,1.84262,41482.2,0,0.323408,0.165792,0.157497,39.6891,43.1182,483840
dynamic_crossing,lp_mppi_smooth,1151,64,30,0,0,1,1,1,252,1.97662,1.97662,41648,0,0.361532,0.205041,0.165742,41.7671,45.9683,483840
dynamic_crossing,lp_mppi_smooth,1158,64,30,0,0,1,1,1,251,1.96519,1.96519,41443.5,0,0.337949,0.182713,0.160623,40.3163,43.9874,481920
dynamic_crossing,mppi,1164,64,30,0,0,0,1,0,260,2.83955,3.08223,45771.7,0,0.869806,1.17288,0.169621,44.1014,48.2688,499200
dynamic_crossing,mppi,1171,64,30,0,0,0,1,0,260,3.19295,3.42702,46163.9,0,0.787975,0.995424,0.144705,37.6233,40.2296,499200
dynamic_crossing,mppi,1178,64,30,0,0,0,1,0,260,3.59431,3.8295,46382,0,0.819274,0.994052,0.164696,42.8208,47.4223,499200
dynamic_crossing,pa_mppi_smooth,1184,64,30,0,0,1,1,1,254,1.95933,1.95933,42276.9,0,0.349722,0.204932,0.177381,45.0548,46.9909,487680
dynamic_crossing,pa_mppi_smooth,1191,64,30,0,0,1,1,1,256,1.97378,1.97378,42624.5,0,0.354444,0.193068,0.182103,46.6183,47.5681,491520
