scenario,planner,seed,k_samples,t_horizon,grad_steps,alpha,reached_goal,collision_free,success,steps,final_distance,min_goal_distance,cumulative_cost,collisions,mean_control_delta,control_roughness,avg_control_ms,total_control_ms,episode_ms,sample_budget
dynamic_crossing,c2u_mppi_smooth,1064,64,30,0,0,1,1,1,252,1.97332,1.97332,41604.5,0,0.321531,0.166114,0.0887748,22.3712,22.7243,483840
dynamic_crossing,c2u_mppi_smooth,1071,64,30,0,0,1,1,1,252,1.97934,1.97934,41360.9,0,0.325674,0.174024,0.0795547,20.0478,20.2877,483840
dynamic_crossing,c2u_mppi_smooth,1078,64,30,0,0,1,1,1,253,1.97999,1.97999,41800.3,0,0.357755,0.212909,0.113776,28.7854,29.0485,485760
dynamic_crossing,dra_mppi_soft,1084,64,30,0,0,1,1,1,252,1.90342,1.90342,41498.5,0,0.351979,0.198977,0.285521,71.9512,72.3163,483840
dynamic_crossing,dra_mppi_soft,1091,64,30,0,0,1,1,1,252,1.85433,1.85433,41331.4,0,0.318273,0.175676,0.154094,38.8318,39.1215,483840
dynamic_crossing,dra_mppi_soft,1098,64,30,0,0,1,1,1,252,1.95581,1.95581,41473.8,0,0.365652,0.220469,0.1139,28.7028,28.9801,483840
dynamic_crossing,ducct_mppi_smooth,1104,64,30,0,0,1,1,1,253,1.97239,1.97239,41851.9,0,0.353616,0.203388,0.28925,73.1801,73.5566,485760
dynamic_crossing,ducct_mppi_smooth,1111,64,30,0,0,1,1,1,254,1.94297,1.94297,41872.3,0,0.362319,0.222369,0.173205,43.994,44.3036,487680
dynamic_crossing,ducct_mppi_smooth,1118,64,30,0,0,1,1,1,253,1.83488,1.83488,41672.3,0,0.356003,0.213966,0.0891868,22.5642,22.8166,485760
dynamic_crossing,lp_mppi_smooth,1124,64,30,0,0,1,1,1,251,1.86201,1.86201,41369.1,0,0.328982,0.177919,0.0602323,15.1183,15.3885,481920
dynamic_crossing,lp_mppi_smooth,1131,64,30,0,0,1,1,1,252,1.8544,1.8544,41569.7,0,0.333684,0.181297,0.0972209,24.4997,24.785,483840
dynamic_crossing,lp_mppi_smooth,1138,64,30,0,0,1,1,1,252,1.96647,1.96647,41763,0,0.343667,0.185646,0.195025,49.1462,49.5042,483840
dynamic_crossing,mppi,1144,64,30,0,0,0,1,0,260,3.41912,3.65518,46292.7,0,0.761193,0.927845,0.13817,35.9242,36.2407,499200
dynamic_crossing,mppi,1151,64,30,0,0,0,1,0,260,3.27784,3.52601,46074.3,0,0.846858,1.04458,0.0573157,14.9021,15.1297,499200
dynamic_crossing,mppi,1158,64,30,0,0,0,1,0,260,2.90194,3.12986,45494.7,0,0.803528,0.996858,0.0526212,13.6815,13.9215,499200
dynamic_crossing,sc_mppi_smooth,1164,64,30,0,0,1,1,1,252,1.87008,1.87008,41387.5,0,0.355678,0.208613,0.0769066,19.3805,19.6036,483840
dynamic_crossing,sc_mppi_smooth,1171,64,30,0,0,1,1,1,252,1.86189,1.86189,41463,0,0.359087,0.207822,0.193317,48.7158,49.0655,483840
dynamic_crossing,sc_mppi_smooth,1178,64,30,0,0,1,1,1,253,1.93973,1.93973,41657.2,0,0.364804,0.202526,0.130584,33.0377,33.3704,485760
dynamic_crossing,step_mppi_smooth,1184,64,30,0,0,1,1,1,251,1.91294,1.91294,41215.2,0,0.36133,0.229787,0.0788661,19.7954,28.7326,481920
dynamic_crossing,step_mppi_smooth,1191,64,30,0,0,1,1,1,253,1.95475,1.95475,41493.6,0,0.364977,0.222416,0.067554,17.0912,20.6402,485760
dynamic_crossing,step_mppi_smooth,1198,64,30,0,0,1,1,1,250,1.97262,1.97262,41034.7,0,0.347827,0.202888,0.0573794,14.3448,16.2971,480000
dynamic_crossing,tsallis_mppi_smooth,1204,64,30,0,0,1,1,1,249,1.97862,1.97862,40685.9,0,0.421021,0.300932,0.127621,31.7775,32.0735,478080
dynamic_crossing,tsallis_mppi_smooth,1211,64,30,0,0,1,1,1,251,1.84907,1.84907,40997.7,0,0.430814,0.323892,0.247975,62.2418,62.6284,481920
dynamic_crossing,tsallis_mppi_smooth,1218,64,30,0,0,1,1,1,250,1.90667,1.90667,40692.6,0,0.420408,0.292961,0.105412,26.3529,26.5908,480000
dynamic_crossing,c2u_mppi_smooth,1128,128,30,0,0,1,1,1,252,1.94492,1.94492,41504.2,0,0.262524,0.117853,0.0777018,19.5809,19.8128,967680
dynamic_crossing,c2u_mppi_smooth,1135,128,30,0,0,1,1,1,251,1.96407,1.96407,41275.7,0,0.242677,0.111338,0.0774116,19.4303,19.6659,963840
dynamic_crossing,c2u_mppi_smooth,1142,128,30,0,0,1,1,1,252,1.8552,1.8552,41484.1,0,0.256207,0.108721,0.211996,53.4229,53.7575,967680
dynamic_crossing,dra_mppi_soft,1148,128,30,0,0,1,1,1,251,1.85887,1.85887,41224.3,0,0.242,0.0987468,0.262961,66.0033,66.329,963840
dynamic_crossing,dra_mppi_soft,1155,128,30,0,0,1,1,1,252,1.89644,1.89644,41501.8,0,0.248322,0.103801,0.125844,31.7128,31.955,967680
dynamic_crossing,dra_mppi_soft,1162,128,30,0,0,1,1,1,252,1.97408,1.97408,41504.6,0,0.253639,0.107433,0.260046,65.5316,65.8719,967680
dynamic_crossing,ducct_mppi_smooth,1168,128,30,0,0,1,1,1,252,1.86642,1.86642,41427.2,0,0.251998,0.106574,0.20923,52.726,53.0358,967680
dynamic_crossing,ducct_mppi_smooth,1175,128,30,0,0,1,1,1,251,1.99213,1.99213,41326.5,0,0.258316,0.109694,0.0909341,22.8245,23.0726,963840
dynamic_crossing,ducct_mppi_smooth,1182,128,30,0,0,1,1,1,252,1.95292,1.95292,41563.9,0,0.255557,0.104508,0.0966409,24.3535,24.5888,967680
dynamic_crossing,lp_mppi_smooth,1188,128,30,0,0,1,1,1,252,1.83705,1.83705,41555.7,0,0.268678,0.114568,0.182,45.864,46.1707,967680
dynamic_crossing,lp_mppi_smooth,1195,128,30,0,0,1,1,1,252,1.96477,1.96477,41579.4,0,0.265667,0.112346,0.199305,50.2249,50.5893,967680
dynamic_crossing,lp_mppi_smooth,1202,128,30,0,0,1,1,1,252,1.89907,1.89907,41491.8,0,0.26858,0.122372,0.0709948,17.8907,18.1553,967680
dynamic_crossing,mppi,1208,128,30,0,0,0,1,0,260,3.70704,3.95182,46471.3,0,0.628981,0.607019,0.0647884,16.845,17.0902,998400
dynamic_crossing,mppi,1215,128,30,0,0,0,1,0,260,3.40643,3.64197,46154.1,0,0.621746,0.584275,0.0727609,18.9178,19.2585,998400
dynamic_crossing,mppi,1222,128,30,0,0,0,1,0,260,3.78697,4.02671,46754.3,0,0.579113,0.500392,0.116197,30.2111,30.5808,998400
dynamic_crossing,sc_mppi_smooth,1228,128,30,0,0,1,1,1,251,1.94312,1.94312,41257.7,0,0.257763,0.106993,0.26421,66.3167,66.722,963840
dynamic_crossing,sc_mppi_smooth,1235,128,30,0,0,1,1,1,252,1.89872,1.89872,41367.2,0,0.257657,0.116996,0.100292,25.2735,25.6102,967680
dynamic_crossing,sc_mppi_smooth,1242,128,30,0,0,1,1,1,252,1.91094,1.91094,41462.6,0,0.251463,0.104382,0.0903578,22.7702,23.0913,967680
dynamic_crossing,step_mppi_smooth,1248,128,30,0,0,1,1,1,251,1.93534,1.93534,41212.1,0,0.285492,0.140138,0.109315,27.4381,40.6823,963840
dynamic_crossing,step_mppi_smooth,1255,128,30,0,0,1,1,1,251,1.83902,1.83902,41117,0,0.282198,0.12785,0.150339,37.7352,65.0627,963840
dynamic_crossing,step_mppi_smooth,1262,128,30,0,0,1,1,1,251,1.85252,1.85252,41205.9,0,0.276786,0.136844,0.0846028,21.2353,25.689,963840
dynamic_crossing,tsallis_mppi_smooth,1268,128,30,0,0,1,1,1,250,1.88576,1.88576,40766.8,0,0.30938,0.160749,0.082153,20.5382,20.8706,960000
dynamic_crossing,tsallis_mppi_smooth,1275,128,30,0,0,1,1,1,250,1.97577,1.97577,40971.5,0,0.321531,0.180591,0.114479,28.6197,28.9626,960000
dynamic_crossing,tsallis_mppi_smooth,1282,128,30,0,0,1,1,1,249,1.99773,1.99773,40711.1,0,0.304384,0.164892,0.297306,74.0292,74.3943,956160
dynamic_pincer,c2u_mppi_smooth,1164,64,30,0,0,1,1,1,257,1.84641,1.84641,41876.2,0,0.345209,0.197449,0.13571,34.8774,35.255,493440
dynamic_pincer,c2u_mppi_smooth,1171,64,30,0,0,1,1,1,258,1.92578,1.92578,42128.6,0,0.351452,0.206729,0.091202,23.5301,23.8949,495360
dynamic_pincer,c2u_mppi_smooth,1178,64,30,0,0,1,1,1,259,1.94239,1.94239,42311.2,0,0.366385,0.213716,0.13268,34.3642,34.7628,497280
dynamic_pincer,dra_mppi_soft,1184,64,30,0,0,1,1,1,260,1.88893,2.04772,42218.9,0,0.340243,0.189675,0.413122,107.412,107.836,499200
dynamic_pincer,dra_mppi_soft,1191,64,30,0,0,1,1,1,259,1.87601,1.87601,42240.8,0,0.339148,0.186935,0.457235,118.424,118.854,497280
dynamic_pincer,dra_mppi_soft,1198,64,30,0,0,1,1,1,258,1.86111,1.86111,41879.3,0,0.327197,0.175991,0.252675,65.1901,65.5089,495360
