algorithm,size,target_points,source_points_median,trials_requested,trials_completed,status,median_ms,min_ms,max_ms,median_rot_err_deg,median_trans_err_m,median_rmse_m,load_before_1min,load_after_1min,python,numpy_version,cudarobotics_version,probreg_version,open3d_version,notes,error,elapsed_ms_trials,rot_err_deg_trials,trans_err_m_trials,rmse_m_trials
cudarobotics_filterreg_gpu,2000,2000,1710,3,3,ok,545.081,535.056,545.513,0.0695827,0.00146341,0.0370325,7.58,7.58,3.10.12,2.2.6,0.1.0,,,,,535.056;545.081;545.513,0.067415;0.0695827;0.0697354,0.00146341;0.00195149;0.000522418,0.0375044;0.0365449;0.0370325
probreg_filterreg_cpu,2000,2000,1710,3,3,ok,716.879,628.419,825.306,0,0.00104562,0.0338422,7.58,7.21,3.10.12,2.2.6,,0.3.8,,probreg update_sigma2=True,,716.879;628.419;825.306,0;0;0,0.00104562;0.00142615;0.000940889,0.0338422;0.0342665;0.0336008
probreg_cpd_rigid_cpu,2000,2000,1710,3,3,ok,4565.24,3910.95,4666.68,0.0373939,0.00081058,0.0338625,6.95,10.72,3.10.12,2.2.6,,0.3.8,,,,4666.68;3910.95;4565.24,0.0373939;0.022471;0.0922279,0.00178627;0.00081058;0.000632252,0.0338625;0.0342929;0.0337014
open3d_gicp_cpu,2000,2000,1710,3,3,ok,180.489,153.385,192.101,0.0598209,0.00164963,0.0338509,10.72,10.59,3.10.12,2.2.6,,,0.19.0,,,180.489;153.385;192.101,0.0371255;0.0598209;0.0609573,0.00164963;0.00270297;0.00147173,0.0338509;0.0343534;0.0336545
cudarobotics_filterreg_gpu,8000,8000,6785,3,3,ok,562.657,560.654,594.026,0.0554776,0.00070844,0.0307137,10.59,9.9,3.10.12,2.2.6,0.1.0,,,,,562.657;560.654;594.026,0.0554776;0.0442663;0.0843456,0.00123753;0.00070844;0.000549036,0.0307137;0.030721;0.0304769
probreg_filterreg_cpu,8000,8000,6785,3,3,ok,2704.42,2324.9,2806.45,0,0.000630397,0.032458,9.9,10.56,3.10.12,2.2.6,,0.3.8,,probreg update_sigma2=True,,2324.9;2704.42;2806.45,0;0;0,0.00100066;0.000630397;0.000441261,0.032458;0.032269;0.0325647
probreg_cpd_rigid_cpu,8000,8000,6785,3,3,ok,69290.1,68067,75148,0.0202714,0.000408549,0.0324877,10.56,11.83,3.10.12,2.2.6,,0.3.8,,,,69290.1;68067;75148,0.0202714;0.0365993;0.0164231,0.00145893;0.000408549;0.000376088,0.0324877;0.032279;0.0325654
open3d_gicp_cpu,8000,8000,6785,3,3,ok,134.226,99.652,164.949,0.0551039,0.000482476,0.0324879,11.83,11.61,3.10.12,2.2.6,,,0.19.0,,,164.949;134.226;99.652,0.0510261;0.0551039;0.0643512,0.000482476;0.00100622;0.000332019,0.0324879;0.0325081;0.0323529
cudarobotics_filterreg_gpu,32000,32000,27206,3,3,ok,699.745,680.481,700.827,0.142167,0.000862019,0.0234693,11.61,11,3.10.12,2.2.6,0.1.0,,,,,680.481;700.827;699.745,0.142167;0.131063;0.158329,0.000412413;0.000862019;0.00169497,0.0234693;0.0233147;0.0235196
probreg_filterreg_cpu,32000,32000,27206,3,3,ok,7935.49,7356.98,7946.23,0,0.000220807,0.02886,11,13.8,3.10.12,2.2.6,,0.3.8,,probreg update_sigma2=True,,7935.49;7946.23;7356.98,0;0;0,0.000176955;0.000220807;0.000461211,0.02886;0.0286348;0.0289372
probreg_cpd_rigid_cpu,32000,32000,,3,0,error,,,,,,,9.28,11.33,3.10.12,2.2.6,,,,,exit code -9,,,,
open3d_gicp_cpu,32000,32000,27206,3,3,ok,241.898,211.482,255.228,0.0199456,0.000200312,0.0287173,11.04,11.12,3.10.12,2.2.6,,,0.19.0,,,255.228;241.898;211.482,0.0220912;0.0199456;0.0166431,0.000175137;0.00040285;0.000200312,0.0287125;0.0287421;0.0287173
