scenario,planner,seed,k_samples,t_horizon,grad_steps,alpha,reached_goal,collision_free,success,steps,final_distance,min_goal_distance,cumulative_cost,collisions,mean_control_delta,control_roughness,avg_control_ms,total_control_ms,episode_ms,sample_budget
box_turn,diff_mppi_1,6256,256,16,1,0.02,0,1,0,260,0.393557,0.124587,4.21986,0,0.318628,0.149387,1.28345,333.696,338.783,1064960
box_turn,diff_mppi_1,6263,256,16,1,0.02,0,1,0,260,0.372838,0.114555,4.00965,0,0.293034,0.131635,1.48579,386.305,391.306,1064960
box_turn,diff_mppi_1,6270,256,16,1,0.02,0,1,0,260,0.41819,0.127378,4.56175,0,0.323043,0.158641,1.5112,392.911,397.886,1064960
box_turn,diff_mppi_1,6277,256,16,1,0.02,0,1,0,260,0.389302,0.118051,4.17376,0,0.302832,0.137852,1.52834,397.369,402.544,1064960
box_turn,diff_mppi_3,6256,256,16,3,0.01,0,1,0,260,0.408689,0.120249,4.38401,0,0.319616,0.156859,2.83109,736.085,741.889,1064960
box_turn,diff_mppi_3,6263,256,16,3,0.01,0,1,0,260,0.373964,0.103996,3.96685,0,0.314769,0.174469,2.87292,746.959,753.75,1064960
box_turn,diff_mppi_3,6270,256,16,3,0.01,0,1,0,260,0.416274,0.121194,4.53616,0,0.334412,0.182772,2.76278,718.322,724.482,1064960
box_turn,diff_mppi_3,6277,256,16,3,0.01,0,1,0,260,0.354983,0.109412,3.70102,0,0.324328,0.182004,2.7774,722.124,728.071,1064960
box_turn,mppi,6256,256,16,0,0,0,1,0,260,0.401023,0.141268,4.46975,0,0.323152,0.162452,0.109375,28.4375,32.3463,1064960
box_turn,mppi,6263,256,16,0,0,0,1,0,260,0.403459,0.123229,4.5233,0,0.297437,0.129413,0.455067,118.317,123.436,1064960
box_turn,mppi,6270,256,16,0,0,0,1,0,260,0.409706,0.140012,4.50258,0,0.316923,0.140041,0.461189,119.909,125.806,1064960
box_turn,mppi,6277,256,16,0,0,0,1,0,260,0.428648,0.129929,4.89635,0,0.298403,0.122856,0.133301,34.6582,39.0453,1064960
box_turn,soppi,6256,256,16,0,0,0,1,0,260,0.401005,0.139901,4.57908,0,0.318282,0.158139,0.872133,226.755,234.086,1064960
box_turn,soppi,6263,256,16,0,0,0,1,0,260,0.383178,0.132706,4.2873,0,0.303382,0.145838,0.966114,251.19,259.455,1064960
